[26-01-2019][12:43:00][INFO]: Loading assets.
[26-01-2019][12:43:01][ERROR]: Cannot load file assets/BIGboi.png
[26-01-2019][12:43:01][INFO]: Starting game.
[26-01-2019][12:43:01][INFO]: Opening game window "Grand-ma Tower Defense"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
[26-01-2019][12:43:01][INFO]: Added new tower "Cake Grand-ma"
